ハウジングエリア,表裏,番地,最寄りエーテライト,行き方補足
ラベ,表,1,樹冠商店街（居住区担当官）,東に道なり右のＭハウス
,,2,ラベンダーベッド東,北の右のＳハウス
樹冠商店街（居住区担当官）,,3,樹冠商店街（居住区担当官）,東のＬハウス
ラベンダーベッド北西,,4,ラベンダーベッド東,北の左のＳハウス
若草商店街,,5,ラベンダーベッド東,西のＭハウス
ラベンダーベッド南東,,6,ラベンダーベッド東,南に行き左に橋を渡った先のＬハウス
ラベンダーベッド南西,,7,ラベンダーベッド南東,北の右のＳハウス
ラベンダーベッド東,,8,ラベンダーベッド南東,北の左のＳハウス
紫水桟橋,,9,ラベンダーベッド南東,東のＳハウス
リリーヒルズ,,10,ラベンダーベッド南東,西のＳハウス
[拡張街]樹冠商店街（居住区担当官）,,11,ラベンダーベッド南東,南西突き当りのＭハウス
[拡張街]ラベンダーベッド北東,,12,ラベンダーベッド東,南ひとつめのＳハウス
[拡張街]若草商店街,,13,ラベンダーベッド東,西に良き左突き当りのＳハウス
[拡張街]ラベンダーベッド南,,14,ラベンダーベッド東,南２つめのＳハウス
[拡張街]ラベンダーベッド北西,,15,紫水桟橋,北へ右の橋を渡って左のＳハウス
[拡張街]ラベンダーベッド南西,,16,ラベンダーベッド南西,西のＭハウス
[拡張街]紫水桟橋,,17,ラベンダーベッド南西,東のＳハウス
[拡張街]リリーヒルズ,,18,ラベンダーベッド南西,北の右のＳハウス右にぐるっと回って入る
,,19,ラベンダーベッド南西,北の左のＳハウス
,,20,若草商店街,南東のＳハウス
,,21,若草商店街,南西のＭハウス
,,22,若草商店街,西のＳハウス
,,23,ラベンダーベッド北西,南東のＳハウス
,,24,若草商店街,北西に階段を上ったＳハウス
,,25,若草商店街,北西の階段を上って右のＳハウス
,,26,樹冠商店街（居住区担当官）,西に道なりに下ったＳハウス
,,27,ラベンダーベッド北西,南西のＭハウス
,,28,ラベンダーベッド北西,北西のＬハウス
,,29,ラベンダーベッド北西,北西突き当りのＳハウス
,,30,樹冠商店街（居住区担当官）,西に道なりに最初に見えるＭハウス
,裏,31,[拡張街]樹冠商店街（居住区担当官）,南に道なり右のＭハウス
,,32,[拡張街]ラベンダーベッド南,東の右のＳハウス
,,33,[拡張街]樹冠商店街（居住区担当官）,南のＬハウス
,,34,[拡張街]ラベンダーベッド南,東の左のＳハウス
,,35,[拡張街]ラベンダーベッド南,北のＭハウス
,,36,[拡張街]ラベンダーベッド南,西に行き左に橋を渡った先のＬハウス
,,37,[拡張街]ラベンダーベッド南西,東の右のＳハウス
,,38,[拡張街]ラベンダーベッド南西,東の左のＳハウス
,,39,[拡張街]ラベンダーベッド南西,南のＳハウス
,,40,[拡張街]ラベンダーベッド南西,北のＳハウス
,,41,[拡張街]ラベンダーベッド南西,北西突き当りのＭハウス
,,42,[拡張街]ラベンダーベッド南,西ひとつめのＳハウス
,,43,[拡張街]ラベンダーベッド南,北に良き左突き当りのＳハウス
,,44,[拡張街]ラベンダーベッド南,西２つめのＳハウス
,,45,[拡張街]紫水桟橋,東へ右の橋を渡って左のＳハウス
,,46,[拡張街]ラベンダーベッド北西,北のＭハウス
,,47,[拡張街]ラベンダーベッド北西,南のＳハウス
,,48,[拡張街]ラベンダーベッド北西,東の右のＳハウス右にぐるっと回って入る
,,49,[拡張街]ラベンダーベッド北西,東の左のＳハウス
,,50,[拡張街]若草商店街,北西のＳハウス
,,51,[拡張街]若草商店街,北西のＭハウス
,,52,[拡張街]若草商店街,北のＳハウス
,,53,[拡張街]ラベンダーベッド北東,南西のＳハウス
,,54,[拡張街]若草商店街,北東に階段を上ったＳハウス
,,55,[拡張街]若草商店街,北東の階段を上って右のＳハウス
,,56,[拡張街]樹冠商店街（居住区担当官）,北に道なりに下ったＳハウス
,,57,[拡張街]ラベンダーベッド北東,北西のＭハウス
,,58,[拡張街]ラベンダーベッド北東,北東のＬハウス
,,59,[拡張街]ラベンダーベッド北東,北東突き当りのＳハウス
,,60,[拡張街]樹冠商店街（居住区担当官）,北に道なりに最初に見えるＭハウス